"Time","TabFormato.A.txt.1"
02/26/2007 09:06:49,"ALA"
02/26/2007 09:06:49,"39139.4"
02/26/2007 09:06:49,"Galpon 15 a 20"
02/26/2007 09:06:49,"R"
02/26/2007 09:06:49,"0"
02/26/2007 09:06:49,"0"
02/26/2007 09:06:49,"0"
02/26/2007 09:06:49,"PICADO"
02/26/2007 09:06:49,"SUCIO"
02/26/2007 09:06:49,"ROTO"
02/26/2007 09:06:49,"870"
02/26/2007 09:06:49,"8754"
02/26/2007 09:06:49,"14560"
02/26/2007 09:06:49,"65432"
02/26/2007 09:06:50,"19230"
02/26/2007 09:06:50,"8045"
02/26/2007 09:06:50,"1690"
02/26/2007 09:06:50,"30"
02/26/2007 09:06:50,"YUMBO"
02/26/2007 09:06:50,"EXTRA"
02/26/2007 09:06:50,"AA"
02/26/2007 09:06:50,"A"
02/26/2007 09:06:50,"B"
02/26/2007 09:06:50,"C"
02/26/2007 09:06:50,"D"
02/26/2007 09:06:50,"PIPO"
02/26/2007 09:06:50,"AB"
02/26/2007 09:06:50,"0"
02/26/2007 09:06:50,"DESECHO"
02/26/2007 09:06:50,"0"
02/26/2007 09:06:50,"DEFORME"
02/26/2007 09:06:50,"0"
