id_empresa	id_formula	fecha	orden_empaque	tipo_registro	orden_empaque_anterior	cantidad_producida	n_batches	id_usuario	fec_registro	ind_macro	costo_m_prima_usada	cant_m_prima_usada	costo_unitario_orden	unidad_medida	ind_inventarios	costo_m_obra	costo_indirecto	costo_total	ind_inventarios_entrada
01	PTGR105	30/12/1999 00:00:00	13998	C		23400.00	13.00	IBPC	07/01/2000 08:47:35:75	N	396504.190	161.630	2453.160						
01	PTGR130	30/12/1999 00:00:00	14000	C		14000.00	10.00	IBPC	07/01/2000 08:47:35:81	N	253646.950	83.000	3055.990						
01	PTGR105	30/12/1999 00:00:00	13998	P	13997	23400.00	13.00	IBPC	07/01/2000 08:47:27:79	S	10437694.980	23300.000	447.970						
01	PTGR120	30/12/1999 00:00:00	13999	C		14400.00	8.00	IBPC	07/01/2000 08:47:35:81	N	351257.910	101.120	3473.670						
01	PTGR176	30/12/1999 00:00:00	13997	P	13996	32400.00	18.00	IBPC	07/01/2000 08:47:27:57	S	12925971.970	32286.000	400.360						
01	PTGR130	30/12/1999 00:00:00	14000	P	13999	14000.00	10.00	IBPC	07/01/2000 08:47:28:39	S	5715320.580	13952.000	409.640						
01	PTGR120	30/12/1999 00:00:00	13999	P	13998	14400.00	8.00	IBPC	07/01/2000 08:47:28:17	S	6506364.980	14340.000	453.720						
01	PTGR162	30/12/1999 00:00:00	14001	C		120600.00	67.00	IBPC	07/01/2000 08:47:35:86	N	2662865.640	842.860	3159.320						
01	PTGR176	30/12/1999 00:00:00	13997	C		32400.00	18.00	IBPC	07/01/2000 08:47:35:7	N	676071.080	206.550	3273.160						
01	PTGR162	30/12/1999 00:00:00	14001	P	14000	120600.00	67.00	IBPC	07/01/2000 08:47:28:61	S	49900781.400	120044.000	415.690						
01	PTGR155	29/12/1999 00:00:00	13990	C		9000.00	5.00	IBPC	07/01/2000 08:45:46:18	N	127581.130	59.080	2159.460						
01	PTGR150	29/12/1999 00:00:00	13992	C		16200.00	9.00	IBPC	07/01/2000 08:45:46:29	N	352953.230	112.810	3128.740						
01	PTGR180	29/12/1999 00:00:00	13991	C		16200.00	9.00	IBPC	07/01/2000 08:45:46:23	N	310658.170	95.820	3242.100						
01	PTCI111	29/12/1999 00:00:00	13987	C		5400.00	3.00	IBPC	07/01/2000 08:45:46:07	N	125265.270	36.720	3411.360						
01	PTCI170	29/12/1999 00:00:00	13984	C		1800.00	1.00	IBPC	07/01/2000 08:45:45:9	N	36500.540	11.490	3176.720						
01	PTGR150	29/12/1999 00:00:00	13992	P	13991	16200.00	9.00	IBPC	07/01/2000 08:45:38:05	S	6823274.160	16115.000	423.410						
01	PTGR134	29/12/1999 00:00:00	13989	P	13988	14000.00	10.00	IBPC	07/01/2000 08:45:37:28	S	5567263.200	13927.000	399.750						
01	PTGR155	29/12/1999 00:00:00	13990	P	13989	9000.00	5.00	IBPC	07/01/2000 08:45:37:5	S	3716509.170	8953.000	415.110						
01	PTGR162	29/12/1999 00:00:00	13993	C		120600.00	67.00	IBPC	07/01/2000 08:45:46:34	N	2662865.640	842.860	3159.320						
01	PTGR134	29/12/1999 00:00:00	13989	C		14000.00	10.00	IBPC	07/01/2000 08:45:46:12	N	186965.560	97.010	1927.280						
01	PTCI170	29/12/1999 00:00:00	13984	P	13983	1800.00	1.00	IBPC	07/01/2000 08:45:35:91	S	679064.070	1793.000	378.730						
01	PTGR152	29/12/1999 00:00:00	13994	C		41400.00	23.00	IBPC	07/01/2000 08:45:46:4	N	897731.970	286.190	3136.840						
01	PTGR105	29/12/1999 00:00:00	13995	C		45000.00	25.00	IBPC	07/01/2000 08:45:46:56	N	762508.070	310.830	2453.140						
01	PTGR152	29/12/1999 00:00:00	13996	P	13995	16200.00	9.00	IBPC	07/01/2000 08:45:39:04	S	6812015.670	16123.000	422.500						
01	PTGR152	29/12/1999 00:00:00	13996	C		16200.00	9.00	IBPC	07/01/2000 08:45:46:62	N	351286.440	111.990	3136.770						
01	PTGR162	29/12/1999 00:00:00	13993	P	13992	120600.00	67.00	IBPC	07/01/2000 08:45:38:27	S	50280910.790	120017.000	418.950						
01	PTRP134	29/12/1999 00:00:00	13982	C		28000.00	20.00	IBPC	07/01/2000 08:45:45:79	N	362507.130	194.020	1868.400						
01	PTGR180	29/12/1999 00:00:00	13991	P	13990	16200.00	9.00	IBPC	07/01/2000 08:45:37:83	S	6133138.900	16114.000	380.610						
01	PTCI133	29/12/1999 00:00:00	13985	C		8400.00	6.00	IBPC	07/01/2000 08:45:45:96	N	208114.670	60.000	3468.580						
01	PTCI190	29/12/1999 00:00:00	13988	P	13987	5000.00	5.00	IBPC	07/01/2000 08:45:37:06	S	1455326.250	4971.000	292.760						
01	PTCI161	29/12/1999 00:00:00	13983	P	13982	5400.00	3.00	IBPC	07/01/2000 08:45:35:69	S	2065698.550	5367.000	384.890						
01	PTRP191	29/12/1999 00:00:00	13986	C		4200.00	3.00	IBPC	07/01/2000 08:45:46:01	N	44930.810	25.410	1768.230						
01	PTGR105	29/12/1999 00:00:00	13995	P	13994	45000.00	25.00	IBPC	07/01/2000 08:45:38:87	S	20242948.940	44805.000	451.800						
01	PTGR152	29/12/1999 00:00:00	13994	P	13993	41400.00	23.00	IBPC	07/01/2000 08:45:38:65	S	17417457.430	41223.000	422.520						
01	PTCI190	29/12/1999 00:00:00	13988	C		5000.00	5.00	IBPC	07/01/2000 08:45:46:07	N	82177.880	36.600	2245.300						
01	PTRP191	29/12/1999 00:00:00	13986	P	13985	4200.00	3.00	IBPC	07/01/2000 08:45:36:46	S	1647446.490	4181.000	394.030						
01	PTCI161	29/12/1999 00:00:00	13983	C		5400.00	3.00	IBPC	07/01/2000 08:45:45:85	N	110701.890	34.660	3193.940						
01	PTCI133	29/12/1999 00:00:00	13985	P	13984	8400.00	6.00	IBPC	07/01/2000 08:45:36:24	S	3334115.340	8367.000	398.480						
01	PTCI111	29/12/1999 00:00:00	13987	P	13986	5400.00	3.00	IBPC	07/01/2000 08:45:36:68	S	2327357.050	5374.000	433.080						
01	PTRP134	29/12/1999 00:00:00	13982	P	13981	28000.00	20.00	IBPC	07/01/2000 08:45:35:47	S	11013728.940	27852.000	395.440						
01	PTGR152	28/12/1999 00:00:00	13974	C		61200.00	34.00	IBPC	07/01/2000 08:44:49:33	N	1327082.050	423.060	3136.860						
01	PTCI130	28/12/1999 00:00:00	13970	P	13969	8400.00	6.00	IBPC	07/01/2000 08:44:39:06	S	2786748.450	6969.000	399.880						
01	PTGR105	28/12/1999 00:00:00	13975	P	13974	32400.00	18.00	IBPC	07/01/2000 08:44:40:1	S	14413356.430	32287.000	446.410						
01	PTCI170	28/12/1999 00:00:00	13973	P	13971	10800.00	6.00	IBPC	07/01/2000 08:44:39:66	S	4048517.640	10749.000	376.640						
01	PTGR155	28/12/1999 00:00:00	13980	P	13979	41400.00	23.00	IBPC	07/01/2000 08:44:41:48	S	15690461.160	41180.000	381.020						
01	PTRP174	28/12/1999 00:00:00	13981	P	13980	12600.00	7.00	IBPC	07/01/2000 08:44:41:69	S	4764083.310	12542.000	379.850						
01	PTGR155	28/12/1999 00:00:00	13980	C		41400.00	23.00	IBPC	07/01/2000 08:44:49:66	N	586873.230	271.770	2159.450						
01	PTRP174	28/12/1999 00:00:00	13981	C		12600.00	7.00	IBPC	07/01/2000 08:44:49:71	N	174737.450	79.910	2186.680						
01	PTGR130	28/12/1999 00:00:00	13978	C		14000.00	10.00	IBPC	07/01/2000 08:44:49:55	N	253646.950	83.000	3055.990						
01	PTCI120	28/12/1999 00:00:00	13971	C		3600.00	2.00	IBPC	07/01/2000 08:44:49:22	N	77975.410	23.220	3358.110						
01	PTGR150	28/12/1999 00:00:00	13979	P	13978	48600.00	27.00	IBPC	07/01/2000 08:44:41:26	S	18567938.770	48348.000	384.050						
01	PTGR150	28/12/1999 00:00:00	13979	C		48600.00	27.00	IBPC	07/01/2000 08:44:49:6	N	1058859.650	338.420	3128.830						
01	PTGR105	28/12/1999 00:00:00	13975	C		32400.00	18.00	IBPC	07/01/2000 08:44:49:38	N	549005.800	223.790	2453.220						
01	PTCI170	28/12/1999 00:00:00	13973	C		10800.00	6.00	IBPC	07/01/2000 08:44:49:27	N	219003.300	68.930	3177.180						
01	PTGR152	28/12/1999 00:00:00	13977	P	13976	16200.00	9.00	IBPC	07/01/2000 08:44:40:65	S	6180089.090	16110.000	383.620						
01	PTGR130	28/12/1999 00:00:00	13978	P	13977	14000.00	10.00	IBPC	07/01/2000 08:44:40:87	S	5463237.610	13961.000	391.320						
01	PTGR152	28/12/1999 00:00:00	13974	P	13973	61200.00	34.00	IBPC	07/01/2000 08:44:39:88	S	23397862.000	60881.000	384.320						
01	PTRP155	28/12/1999 00:00:00	13969	C		14400.00	8.00	IBPC	07/01/2000 08:44:49:11	N	204129.820	94.530	2159.420						
01	PTGR162	28/12/1999 00:00:00	13976	C		48600.00	27.00	IBPC	07/01/2000 08:44:49:44	N	1073095.100	339.660	3159.320						
01	PTGR152	28/12/1999 00:00:00	13977	C		16200.00	9.00	IBPC	07/01/2000 08:44:49:49	N	351286.440	111.990	3136.770						
01	PTRP155	28/12/1999 00:00:00	13969	P	13968	14400.00	8.00	IBPC	07/01/2000 08:44:38:89	S	5530549.100	14320.000	386.210						
01	PTCI130	28/12/1999 00:00:00	13970	C		8400.00	6.00	IBPC	07/01/2000 08:44:49:16	N	152188.170	49.800	3055.990						
01	PTGR162	28/12/1999 00:00:00	13976	P	13975	48600.00	27.00	IBPC	07/01/2000 08:44:40:43	S	18435893.930	48328.000	381.470						
01	PTCI120	28/12/1999 00:00:00	13971	P	13970	3600.00	2.00	IBPC	07/01/2000 08:44:39:28	S	1476802.290	3581.000	412.400						
01	PTRL172	27/12/1999 00:00:00	13951	C		5400.00	3.00	IBPC	07/01/2000 08:44:03:03	N	146361.560	33.910	4316.180						
01	PTCI180	27/12/1999 00:00:00	13952	C		5400.00	3.00	IBPC	07/01/2000 08:44:03:08	N	105042.310	33.110	3172.530						
01	PTRP155	27/12/1999 00:00:00	13958	P	13957	10800.00	6.00	IBPC	07/01/2000 08:43:43:75	S	4147466.650	10745.000	385.990						
01	PTGR180	27/12/1999 00:00:00	13966	C		48600.00	27.00	IBPC	07/01/2000 08:44:03:85	N	931974.480	287.470	3241.990						
01	PTGR176	27/12/1999 00:00:00	13959	P	13958	16200.00	9.00	IBPC	07/01/2000 08:43:43:97	S	6128913.030	16113.000	380.370						
01	PTGR155	27/12/1999 00:00:00	13968	P	13967	5400.00	3.00	IBPC	07/01/2000 08:43:46:33	S	2071059.280	5368.000	385.820						
01	PTCI190	27/12/1999 00:00:00	13956	C		8000.00	8.00	IBPC	07/01/2000 08:44:03:3	N	131484.600	58.550	2245.680						
01	PTGR130	27/12/1999 00:00:00	13964	P	13963	14000.00	10.00	IBPC	07/01/2000 08:43:45:34	S	5450601.820	13941.000	390.980						
01	PTGR155	27/12/1999 00:00:00	13968	C		5400.00	3.00	IBPC	07/01/2000 08:44:03:96	N	76548.680	35.450	2159.340						
01	PTRP134	27/12/1999 00:00:00	13949	P	13948	25200.00	18.00	IBPC	07/01/2000 08:43:41:39	S	10248394.210	26468.000	387.200						
01	PTCI190	27/12/1999 00:00:00	13956	P	13955	8000.00	8.00	IBPC	07/01/2000 08:43:43:2	S	2368415.330	7966.000	297.320						
01	PTGR120	27/12/1999 00:00:00	13960	C		16200.00	9.00	IBPC	07/01/2000 08:44:03:52	N	395165.160	113.760	3473.670						
01	PTCI180	27/12/1999 00:00:00	13952	P	13951	5400.00	3.00	IBPC	07/01/2000 08:43:42:21	S	2021918.970	5373.000	376.310						
01	PTRP156	27/12/1999 00:00:00	13953	P	13952	9000.00	5.00	IBPC	07/01/2000 08:43:42:38	S	3453614.410	8947.000	386.010						
01	PTGR120	27/12/1999 00:00:00	13960	P	13959	16200.00	9.00	IBPC	07/01/2000 08:43:44:35	S	6636692.880	16103.000	412.140						
01	PTCI170	27/12/1999 00:00:00	13947	P	13946	5400.00	3.00	IBPC	07/01/2000 08:43:40:84	S	2025531.910	5379.000	376.560						
01	PTGR180	27/12/1999 00:00:00	13966	P	13965	48600.00	27.00	IBPC	07/01/2000 08:43:45:95	S	18165173.700	48290.000	376.170						
01	PTCI170	27/12/1999 00:00:00	13947	C		5400.00	3.00	IBPC	07/01/2000 08:44:02:81	N	109501.650	34.460	3177.650						
01	PTGR142	27/12/1999 00:00:00	13961	P	13960	16200.00	9.00	IBPC	07/01/2000 08:43:44:57	S	6286740.810	16107.000	390.310						
01	PTGR152	27/12/1999 00:00:00	13945	P	13944	9000.00	5.00	IBPC	07/01/2000 08:43:40:4	S	3442431.910	8953.000	384.500						
