id_empresa	id_formula	fecha	orden_empaque	tipo_registro	orden_empaque_anterior	cantidad_producida	n_batches	id_usuario	fec_registro	ind_macro	costo_m_prima_usada	cant_m_prima_usada	costo_unitario_orden
01	PTCI170	09/07/1998 00:00:00	8470	P	8469	14400.00	8.00	JEMD	10/07/1998 17:34:01:54	S			
01	PTRP174	10/07/1998 00:00:00	8473	P	8472	27000.00	15.00	CAGS	10/07/1998 04:13:27:99	S			
01	PTCI150	10/07/1998 00:00:00	8481	P	8480	19800.00	11.00	HERO	11/07/1998 21:52:32:55	S			
01	PTCI180	10/07/1998 00:00:00	8471	P	8470	25200.00	14.00	JEMD	10/07/1998 17:42:13:34	S			
01	PTCI161	10/07/1998 00:00:00	8472	P	8471	21600.00	12.00	HERO	10/07/1998 03:21:58:21	S			
01	PTCI161	11/07/1998 00:00:00	8482	P	8481	39600.00	22.00	ERSS	06/08/1998 12:32:06:29	S	12698382.260	39430.000	322.050
01	PTCI151	11/07/1998 00:00:00	8483	P	8482	7200.00	4.00	ERSS	06/08/1998 12:32:06:73	S	2349159.700	7164.000	327.910
01	PTCI151	11/07/1998 00:00:00	8484	C		12600.00	7.00	ERSS	06/08/1998 12:32:26:61	N	228089.155	86.387	2640.320
01	PTCI151	11/07/1998 00:00:00	8484	P	8483	12600.00	7.00	ERSS	06/08/1998 12:32:07:44	S	4111615.920	12538.000	327.930
01	PTRP156	11/07/1998 00:00:00	8486	P	8485	5400.00	3.00	ERSS	06/08/1998 12:32:08:26	S	1695043.710	5371.000	315.590
01	PTCI161	11/07/1998 00:00:00	8482	C		39600.00	22.00	ERSS	06/08/1998 12:32:25:89	N	418276.769	222.662	1878.530
01	PTRP134	11/07/1998 00:00:00	8485	C		12600.00	9.00	ERSS	06/08/1998 12:32:27:16	N	208766.221	82.890	2518.590
01	PTRP155	11/07/1998 00:00:00	8487	C		12600.00	7.00	ERSS	06/08/1998 12:32:27:71	N	211617.451	78.540	2694.390
01	PTRP155	11/07/1998 00:00:00	8487	P	8486	12600.00	7.00	ERSS	06/08/1998 12:32:08:65	S	3957397.100	12537.000	315.590
01	PTRP134	11/07/1998 00:00:00	8485	P	8484	12600.00	9.00	ERSS	06/08/1998 12:32:07:82	S	3822210.580	12531.000	305.020
01	PTCI151	11/07/1998 00:00:00	8483	C		7200.00	4.00	ERSS	06/08/1998 12:32:26:33	N	130336.660	49.364	2640.320
01	PTRP156	11/07/1998 00:00:00	8486	C		5400.00	3.00	ERSS	06/08/1998 12:32:27:49	N	90693.193	33.660	2694.390
01	PTRP134	13/07/1998 00:00:00	8492	C		22400.00	16.00	ERSS	24/08/1998 13:39:06:78	N	378469.920	149.920	2524.480
01	PTRL154	13/07/1998 00:00:00	8497	P	8496	7200.00	4.00	ERSS	24/08/1998 13:38:43:27	S	2351417.080	7162.000	328.320
01	PTCI160	13/07/1998 00:00:00	8491	C		36000.00	20.00	ERSS	24/08/1998 13:39:06:39	N	618037.687	231.820	2666.020
01	PTGR152	13/07/1998 00:00:00	8502	C		5400.00	3.00	ERSS	24/08/1998 13:39:10:95	N	99854.146	36.603	2728.030
01	PTGR162	13/07/1998 00:00:00	8499	C		48600.00	27.00	ERSS	24/08/1998 13:39:09:74	N	888139.413	326.997	2716.050
01	PTGR176	13/07/1998 00:00:00	8500	P	8499	32400.00	18.00	ERSS	24/08/1998 13:38:45:03	S	10253189.770	32228.000	318.150
01	PTCI160	13/07/1998 00:00:00	8491	P	8490	36000.00	20.00	ERSS	24/08/1998 13:38:39:37	S	11568741.520	35816.000	323.000
01	PTGR176	13/07/1998 00:00:00	8500	C		32400.00	18.00	ERSS	24/08/1998 13:39:10:18	N	557653.272	217.098	2568.670
01	PTRL154	13/07/1998 00:00:00	8497	C		7200.00	4.00	ERSS	24/08/1998 13:39:08:86	N	178693.792	51.068	3499.130
01	PTGR152	13/07/1998 00:00:00	8501	P	8500	27000.00	15.00	ERSS	24/08/1998 13:38:45:58	S	8831836.720	26849.000	328.940
01	PTGR150	13/07/1998 00:00:00	8488	C		19800.00	11.00	ERSS	24/08/1998 13:39:05:24	N	364134.390	138.721	2624.940
01	PTRL153	13/07/1998 00:00:00	8496	P	8495	7200.00	4.00	ERSS	24/08/1998 13:38:42:61	S	2348432.650	7157.000	328.130
01	PTCI151	13/07/1998 00:00:00	8493	C		9000.00	5.00	ERSS	24/08/1998 13:39:07:16	N	162835.257	61.705	2638.930
01	PTRL153	13/07/1998 00:00:00	8496	C		7200.00	4.00	ERSS	24/08/1998 13:39:08:42	N	222532.579	56.588	3932.500
01	PTGR152	13/07/1998 00:00:00	8501	C		27000.00	15.00	ERSS	24/08/1998 13:39:10:57	N	499270.730	183.015	2728.030
01	PTRP155	13/07/1998 00:00:00	8490	C		25200.00	14.00	ERSS	24/08/1998 13:39:06:01	N	423068.380	157.080	2693.330
01	PTRP134	13/07/1998 00:00:00	8494	P	8493	14000.00	10.00	ERSS	24/08/1998 13:38:41:18	S	4273307.330	13928.000	306.810
01	PTGR150	13/07/1998 00:00:00	8503	P	8502	1800.00	1.00	ERSS	24/08/1998 13:38:46:73	S	586924.910	1790.000	328.570
01	PTRP192	13/07/1998 00:00:00	8495	C		1400.00	1.00	ERSS	24/08/1998 13:39:07:93	N	26830.840	9.036	2969.330
01	PTGR150	13/07/1998 00:00:00	8503	C		1800.00	1.00	ERSS	24/08/1998 13:39:11:34	N	33103.126	12.611	2728.030
01	PTRP175	13/07/1998 00:00:00	8498	P	8497	12600.00	7.00	ERSS	24/08/1998 13:38:43:87	S	3882964.600	12534.000	309.790
01	PTRP155	13/07/1998 00:00:00	8490	P	8489	25200.00	14.00	ERSS	24/08/1998 13:38:38:66	S	7961794.170	25063.000	317.670
01	PTRP175	13/07/1998 00:00:00	8498	C		12600.00	7.00	ERSS	24/08/1998 13:39:09:3	N	277997.762	86.240	3223.540
01	PTGR150	13/07/1998 00:00:00	8488	P	8487	19800.00	11.00	ERSS	24/08/1998 13:38:37:5	S	6455436.460	19678.000	328.050
01	PTCI161	13/07/1998 00:00:00	8489	C		10800.00	6.00	ERSS	24/08/1998 13:39:05:62	N	170627.642	67.386	2532.090
