id_empresa	id_formula	fecha	orden_empaque	id_ingrediente	cantidad_digitada	cant_calculada	cant_formula_total	cant_formula_batche	costo_unitario	costo_total	tipo_registro	orden_empaq_anterior	id_usuario	fec_registro	ind_macro	id_bodega
01	PTGR176	01/09/2000 00:00:00	16667	MAMP190	0	0	0	0	0	0	P	16666	MLAP	06/10/2000 10:44:00:57	S	
01	PTGR161	01/09/2000 00:00:00	16662	MAMP180	0	0	0	0	0	0	P	16661	MLAP	06/10/2000 10:43:26:57	S	
01	PTGR150	01/09/2000 00:00:00	16661	MAMP035	0	0	0	0	35.11	0	C	16660	MLAP	06/10/2000 10:43:16:14	S	
01	PTGR130	01/09/2000 00:00:00	16670	MAMP175	0	0	0	0	0	0	P	16669	MLAP	06/10/2000 10:44:19:36	S	
01	PTGR161	01/09/2000 00:00:00	16662	MAMP000	1446.000	542.000	0	0	254.97	138193.74	P	16661	MLAP	06/10/2000 10:43:21:36	S	
01	PTGR176	01/09/2000 00:00:00	16667	MAMP005	0	0	0	0	0	0	P	16666	MLAP	06/10/2000 10:43:55:41	S	
01	PTGR176	01/09/2000 00:00:00	16664	MAMP190	0	0	0	0	0	0	P	16663	MLAP	06/10/2000 10:43:39:98	S	
01	PTGR152	01/09/2000 00:00:00	16663	MAMP105	0	0	0	0	0	0	P	16662	MLAP	06/10/2000 10:43:31:24	S	
01	PTGR160	01/09/2000 00:00:00	16666	MAMP040	14316.000	574.000	0	0	554.80	318455.20	P	16665	MLAP	06/10/2000 10:43:50:25	S	
01	PTGR160	01/09/2000 00:00:00	16666	MAMP010	1224.000	51.000	0	0	869.83	44361.33	P	16665	MLAP	06/10/2000 10:43:49:31	S	
01	PTGR155	01/09/2000 00:00:00	16668	MAMP120	0	0	0	0	0	0	P	16667	MLAP	06/10/2000 10:44:05:46	S	
01	PTGR162	01/09/2000 00:00:00	16665	MAMP050	0	0	0	0	31.16	0	P	16664	MLAP	06/10/2000 10:43:42:39	S	
01	PTGR176	01/09/2000 00:00:00	16667	MIDR195	0	3.672	0	0	39426.21	144773.04	C		MLAP	06/10/2000 14:54:10:5	N	
01	PTGR171	01/09/2000 00:00:00	16669	MAMP020	602.000	0	0	0	717.05	0	P	16668	MLAP	06/10/2000 10:44:08:48	S	
01	PTGR161	01/09/2000 00:00:00	16662	MIDR115	0	7.020	0	0	7548.74	52992.15	C		MLAP	06/10/2000 14:53:59:85	N	
01	PTGR150	01/09/2000 00:00:00	16661	MAMP130	0	0	0	0	0	0	C	16660	MLAP	06/10/2000 10:43:19:16	S	
01	PTGR160	01/09/2000 00:00:00	16666	MAMP130	0	0	0	0	0	0	P	16665	MLAP	06/10/2000 10:43:52:77	S	
01	PTGR171	01/09/2000 00:00:00	16669	MIDR070	0	12.600	0	0	11958.76	150680.38	C		MLAP	06/10/2000 14:54:15:06	N	
01	PTGR176	01/09/2000 00:00:00	16667	MAMP030	675.000	419.000	0	0	291.78	122255.82	P	16666	MLAP	06/10/2000 10:43:56:18	S	
01	PTGR162	01/09/2000 00:00:00	16665	MAMP175	0	0	0	0	0	0	P	16664	MLAP	06/10/2000 10:43:46:35	S	
01	PTGR162	01/09/2000 00:00:00	16665	MAMP070	0	0	0	0	0	0	P	16664	MLAP	06/10/2000 10:43:43	S	
