id_empresa	id_formula	fecha	orden_empaque	id_ingrediente	cantidad_digitada	cant_calculada	cant_formula_total	cant_formula_batche	costo_unitario	costo_total	tipo_registro	orden_empaq_anterior	id_usuario	fec_registro	ind_macro
01	PTCI111	16/07/1998 00:00:00	8533	MAMP000	2227128.000	1079.000	0	0	304.38	328426.02	P	8532	ERSS	24/08/1998 13:47:26:98	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP005	0	0	0	0	0	0	P	8532	ERSS	24/08/1998 13:47:27:09	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP010	36062.000	33.000	0	0	495.54	16352.82	P	8532	ERSS	24/08/1998 13:47:27:09	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP015	17171.000	9.000	0	0	850.66	7655.94	P	8532	ERSS	24/08/1998 13:47:27:15	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP020	131630.000	0	0	0	510.00	0	P	8532	ERSS	24/08/1998 13:47:27:2	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP025	1114.000	0	0	0	258.01	0	P	8532	ERSS	24/08/1998 13:47:27:31	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP030	66395.000	0	0	0	162.38	0	P	8532	ERSS	24/08/1998 13:47:27:37	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP035	562.000	0	0	0	22.00	0	P	8532	ERSS	24/08/1998 13:47:27:37	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP040	497942.000	515.000	0	0	429.77	221331.55	P	8532	ERSS	24/08/1998 13:47:27:42	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP045	157483.000	126.000	0	0	524.55	66093.30	P	8532	ERSS	24/08/1998 13:47:27:48	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP050	7116.000	28.000	0	0	51.25	1435.00	P	8532	ERSS	24/08/1998 13:47:27:53	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP055	271879.000	0	0	0	40.29	0	P	8532	ERSS	24/08/1998 13:47:27:59	S
01	PTCI111	16/07/1998 00:00:00	8533	MAMP060	0	0	0	0	45.00	0	P	8532	ERSS	24/08/1998 13:47:27:64	S
01	PTCI111	16/07/1998 00:00:00	8533	MIDR020	0	2.690	0	0	4340.70	11676.48	C		ERSS	24/08/1998 13:47:53:51	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR030	0	1.000	0	0	11.00	11.00	C		ERSS	24/08/1998 13:47:53:57	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR040	0	0.140	0	0	3772.06	528.09	C		ERSS	24/08/1998 13:47:53:62	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR050	0	0.720	0	0	22087.36	15902.90	C		ERSS	24/08/1998 13:47:53:68	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR055	0	1.080	0	0	1207.00	1303.56	C		ERSS	24/08/1998 13:47:53:68	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR065	0	5.400	0	0	100.00	540.00	C		ERSS	24/08/1998 13:47:53:73	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR085	0	0.720	0	0	1396.30	1005.34	C		ERSS	24/08/1998 13:47:53:79	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR090	0	0.054	0	0	30965.00	1672.11	C		ERSS	24/08/1998 13:47:53:84	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR095	0	0.090	0	0	13762.00	1238.58	C		ERSS	24/08/1998 13:47:53:84	N
01	PTCI111	16/07/1998 00:00:00	8533	MIDR130	0	0.210	0	0	2950.00	619.50	C		ERSS	24/08/1998 13:47:53:9	N
01	PTCI111	22/07/1998 00:00:00	8592	MAMP000	2874190.000	2166.000	0	0	304.38	659287.08	P	8591	ERSS	24/08/1998 13:54:56:82	S
01	PTCI111	22/07/1998 00:00:00	8592	MAMP005	0	0	0	0	0	0	P	8591	ERSS	24/08/1998 13:54:56:93	S
