id_empresa	id_formula	fecha	cant_producida	n_batches	cant_m_prima_usada	costo_m_prima_usada	costo_unitario_diario	id_usuario	fec_registro
01		01/01/1900 00:00:00	0	0	0	0	0	IBPC	30/09/1998 14:34:46:85
01	PTRP155	11/07/1998 00:00:00	12600.000	7.000	12615.540	4169014.551	330.470	ERSS	06/08/1998 12:32:45:56
01	PTCI161	11/07/1998 00:00:00	39600.000	22.000	39652.662	13116659.029	330.790	ERSS	06/08/1998 12:32:45:45
01	PTCI151	11/07/1998 00:00:00	19800.000	11.000	19837.751	6819201.435	343.750	ERSS	06/08/1998 12:32:45:45
01	PTRP134	11/07/1998 00:00:00	12600.000	9.000	12613.890	4030976.801	319.570	ERSS	06/08/1998 12:32:45:5
01	PTRP156	11/07/1998 00:00:00	5400.000	3.000	5404.660	1785736.903	330.410	ERSS	06/08/1998 12:32:45:56
01	PTRP192	13/07/1998 00:00:00	1400.000	1.000	1408.036	435870.500	309.560	ERSS	24/08/1998 13:39:32:76
01	PTRP155	13/07/1998 00:00:00	25200.000	14.000	25220.080	8384862.550	332.470	ERSS	24/08/1998 13:39:32:65
01	PTCI161	13/07/1998 00:00:00	10800.000	6.000	10818.386	3653378.752	337.700	ERSS	24/08/1998 13:39:32:21
01	PTRL153	13/07/1998 00:00:00	7200.000	4.000	7213.588	2570965.229	356.410	ERSS	24/08/1998 13:39:32:48
01	PTCI151	13/07/1998 00:00:00	9000.000	5.000	9020.705	3117254.397	345.570	ERSS	24/08/1998 13:39:32:15
01	PTRP134	13/07/1998 00:00:00	36400.000	26.000	36451.620	11725660.050	321.680	ERSS	24/08/1998 13:39:32:59
01	PTGR150	13/07/1998 00:00:00	21600.000	12.000	21619.332	7439598.886	344.120	ERSS	24/08/1998 13:39:32:32
01	PTRL154	13/07/1998 00:00:00	7200.000	4.000	7213.068	2530110.872	350.770	ERSS	24/08/1998 13:39:32:54
01	PTGR162	13/07/1998 00:00:00	48600.000	27.000	48649.997	16525966.993	339.690	ERSS	24/08/1998 13:39:32:43
01	PTCI160	13/07/1998 00:00:00	36000.000	20.000	36047.820	12186779.207	338.070	ERSS	24/08/1998 13:39:32:15
01	PTGR176	13/07/1998 00:00:00	32400.000	18.000	32445.098	10810843.042	333.200	ERSS	24/08/1998 13:39:32:43
01	PTGR152	13/07/1998 00:00:00	32400.000	18.000	32434.618	11194069.506	345.130	ERSS	24/08/1998 13:39:32:37
01	PTRP175	13/07/1998 00:00:00	12600.000	7.000	12620.240	4160962.362	329.710	ERSS	24/08/1998 13:39:32:7
01	PTRP156	14/07/1998 00:00:00	7200.000	4.000	7208.480	2436082.810	337.950	ERSS	24/08/1998 13:42:23:74
01	PTCI161	14/07/1998 00:00:00	36000.000	20.000	36079.620	12214718.887	338.550	ERSS	24/08/1998 13:42:23:3
01	PTGR162	14/07/1998 00:00:00	48600.000	27.000	48670.137	16752343.523	344.200	ERSS	24/08/1998 13:42:23:63
01	PTCI152	14/07/1998 00:00:00	9000.000	5.000	9002.005	3113148.597	345.830	ERSS	24/08/1998 13:42:23:25
01	PTCI150	14/07/1998 00:00:00	9000.000	5.000	9022.055	3114970.642	345.260	ERSS	24/08/1998 13:42:23:19
01	PTRP191	14/07/1998 00:00:00	21000.000	15.000	21025.040	6423161.050	305.500	ERSS	24/08/1998 13:42:23:74
01	PTGR130	14/07/1998 00:00:00	16800.000	12.000	16846.024	5455284.233	323.830	ERSS	24/08/1998 13:42:23:41
01	PTGR152	14/07/1998 00:00:00	48600.000	27.000	48665.567	17012453.944	349.580	ERSS	24/08/1998 13:42:23:52
01	PTCI170	14/07/1998 00:00:00	25200.000	14.000	25241.314	8377083.523	331.880	ERSS	24/08/1998 13:42:23:36
01	PTGR150	14/07/1998 00:00:00	63000.000	35.000	63049.145	21869716.952	346.870	ERSS	24/08/1998 13:42:23:47
01	PTRP134	14/07/1998 00:00:00	15400.000	11.000	15431.070	4977071.020	322.540	ERSS	24/08/1998 13:42:23:68
